dataset,seq_len,pred_len,model,norm,alpha,seed,MSE,MAE,RMSE,MAPE,MSPE,dish_init,scaled,prior,features,timestamp
ECL,336,336,Autoformer,dishts,0.75,2023,9271170.0,326.2909,3044.8596,108632410.0,1.5344417e+20,avg,False,paper-phi-only,M,20260616_125346
ECL,336,336,Autoformer,dishts,0.75,2024,8933444.0,324.96304,2988.8867,114448936.0,1.5522335e+20,avg,False,paper-phi-only,M,20260616_130314
ECL,336,336,Autoformer,dishts,0.75,2025,11115298.0,375.5783,3333.9612,124142300.0,1.5616086e+20,avg,False,paper-phi-only,M,20260616_131127
ECL,336,336,Autoformer,dishts,1.0,2023,11118127.0,335.03082,3334.3855,109233060.0,1.5930819e+20,avg,False,paper-phi-only,M,20260616_132711
ECL,336,336,Autoformer,dishts,1.0,2024,9168326.0,341.8442,3027.924,114679360.0,1.551748e+20,avg,False,paper-phi-only,M,20260616_133914
ECL,336,336,Autoformer,dishts,1.0,2025,8852022.0,339.88455,2975.2349,119797310.0,1.590126e+20,avg,False,paper-phi-only,M,20260616_134729
ETTh1,96,96,Autoformer,dishts,0.0,2023,15.69381,2.19435,3.96154,858541.3,434466140000000.0,avg,False,paper-phi-only,M,20260616_134859
ETTh1,96,96,Autoformer,dishts,0.0,2024,12.40999,1.96872,3.52278,748747.56,341795200000000.0,avg,False,paper-phi-only,M,20260616_135028
ETTh1,96,96,Autoformer,dishts,0.0,2025,12.41788,1.98667,3.5239,747029.3,366384000000000.0,avg,False,paper-phi-only,M,20260616_135157
ETTh1,96,96,Autoformer,dishts,0.25,2023,14.12432,2.07966,3.75823,852848.75,433822600000000.0,avg,False,paper-phi-only,M,20260616_135326
ETTh1,96,96,Autoformer,dishts,0.25,2024,12.80552,1.99982,3.57848,810837.1,430770400000000.0,avg,False,paper-phi-only,M,20260616_135442
ETTh1,96,96,Autoformer,dishts,0.25,2025,12.96341,2.01055,3.60047,866862.6,435333860000000.0,avg,False,paper-phi-only,M,20260616_135544
ETTh1,96,96,Autoformer,dishts,0.5,2023,13.81851,2.09218,3.71733,837303.3,412879870000000.0,avg,False,paper-phi-only,M,20260616_135713
ETTh1,96,96,Autoformer,dishts,0.5,2024,12.30061,1.96209,3.50722,743894.3,328786660000000.0,avg,False,paper-phi-only,M,20260616_135842
ETTh1,96,96,Autoformer,dishts,0.5,2025,12.8828,1.98537,3.58926,848033.7,434964660000000.0,avg,False,paper-phi-only,M,20260616_135944
ETTh1,96,96,Autoformer,dishts,0.75,2023,13.61767,2.08668,3.69021,869484.0,435009450000000.0,avg,False,paper-phi-only,M,20260616_140113
ETTh1,96,96,Autoformer,dishts,0.75,2024,13.05482,1.99982,3.61315,838932.06,445234460000000.0,avg,False,paper-phi-only,M,20260616_140229
ETTh1,96,96,Autoformer,dishts,0.75,2025,12.63348,1.97402,3.55436,865917.8,444586800000000.0,avg,False,paper-phi-only,M,20260616_140331
ETTh1,96,96,Autoformer,dishts,1.0,2023,14.28933,2.11107,3.78012,834770.06,412680500000000.0,avg,False,paper-phi-only,M,20260616_140500
ETTh1,96,96,Autoformer,dishts,1.0,2024,13.11296,2.01863,3.62118,787662.4,396516000000000.0,avg,False,paper-phi-only,M,20260616_140602
ETTh1,96,96,Autoformer,dishts,1.0,2025,13.24643,2.03498,3.63956,868091.9,443829340000000.0,avg,False,paper-phi-only,M,20260616_140704
ETTh1,168,168,Autoformer,dishts,0.0,2023,15.30913,2.22572,3.91269,950311.6,497986220000000.0,avg,False,paper-phi-only,M,20260616_141009
ETTh1,168,168,Autoformer,dishts,0.0,2024,18.73881,2.37406,4.32883,915105.7,520735760000000.0,avg,False,paper-phi-only,M,20260616_141230
ETTh1,168,168,Autoformer,dishts,0.0,2025,13.83101,2.11042,3.71901,843258.94,417899680000000.0,avg,False,paper-phi-only,M,20260616_141831
ETTh1,168,168,Autoformer,dishts,0.25,2023,14.54123,2.18933,3.8133,898968.1,487783000000000.0,avg,False,paper-phi-only,M,20260616_142136
